名称,原名称,年代,地址,批次,等级,经度,纬度,API返回地址,匹配方式,精度,状态,搜索关键词,Longitude,Latitude,经度偏移,纬度偏移
武汉剧院,武汉剧院,1959,武汉市解放大道1020号,第三批,一级,114.287866,30.587565,武汉市江岸区 - 武汉剧院(解放大道1012号(市青少年宫对面)) [POI],POI,精确,成功,武汉剧院,114.28244203834011,30.590003516725837,0.005423961659886345,-0.0024385167258351714
莲溪阁茶艺吧,吴家花园,1937,武汉市南京路124号,第三批,一级,114.290108,30.585003,武汉市江岸区 - 湖北省武汉市江岸区南京路124号,geocode,精确,成功,武汉市南京路124号,114.28468215275507,30.587439462159544,0.005425847244936222,-0.0024364621595438507
中铁大桥局办公楼,中铁大桥局办公楼,1953,武汉市汉阳大道38号,第三批,一级,114.27326,30.55054,武汉市汉阳区 - 湖北省武汉市汉阳区汉阳大道38号,geocode,精确,成功,武汉市汉阳大道38号,114.267848596269,30.553008066849348,0.005411403730988695,-0.0024680668493459734
中国铁钤祥中南公司,万兆芳公馆,1921,武汉市江岸区铭新街21号,第三批,二级,114.290302,30.585822,武汉市江岸区 - 湖北省武汉市江岸区铭新街21号,geocode,精确,成功,武汉市江岸区铭新街21号,114.28487589225996,30.58825788291816,0.005426107740035491,-0.002435882918160104
武汉工业控股集团,交通运输局,1937,武汉市江岸区南京路113号,第三批,二级,114.289651,30.585075,武汉市江岸区 - 湖北省武汉市江岸区南京路113号,geocode,精确,成功,武汉市江岸区南京路113号,114.2842255890887,30.587512063272122,0.005425410911300332,-0.0024370632721222307
汉润里,汉润里,1937年前,武汉市江岸区中山大道952号,第三批,二级,114.29278,30.584386,武汉市江岸区 - 湖北省武汉市江岸区中山大道952号,geocode,精确,成功,武汉市江岸区中山大道952号,114.28735148781873,30.58681891263507,0.005428512181268275,-0.002432912635072171
长江武汉航道工程局,沿江大道140号,1937年前,武汉市江岸区沿江大道140号,第三批,二级,114.299092,30.579922,武汉市江岸区 - 湖北省武汉市江岸区沿江大道140号,geocode,精确,成功,武汉市江岸区沿江大道140号,114.29365662476792,30.582346967386073,0.005435375232082151,-0.002424967386073007
韶山二里,黄陂二里,1937,武汉市江岸区黄陂二里3-9号,第三批,二级,114.298688,30.588711,武汉市江岸区 - 湖北省武汉市江岸区黄陂二里,geocode,精确,成功,武汉市江岸区黄陂二里3-9号,114.29325236237256,30.591133284255232,0.005435637627442702,-0.0024222842552319435
中华医学会,胜利街155号,1937年前,武汉市江岸区胜利街155号,第三批,二级,114.298051,30.58725,武汉市江岸区 - 湖北省武汉市江岸区胜利街155号,geocode,精确,成功,武汉市江岸区胜利街155号,114.29261626265753,30.58967384900211,0.00543473734246902,-0.0024238490021097903
江岸区少儿图书馆,胜利街257号,1927,武汉市江岸区胜利街257号,第三批,二级,114.302223,30.592074,武汉市江岸区 - 湖北省武汉市江岸区胜利街257号,geocode,精确,成功,武汉市江岸区胜利街257号,114.29678258985261,30.59448925174274,0.0054404101473863875,-0.002415251742739599
一元路6号,一元路6号,1937,武汉市江岸区一元路6号,第三批,二级,114.301792,30.594405,武汉市江岸区 - 湖北省武汉市江岸区一元路6号,geocode,精确,成功,武汉市江岸区一元路6号,114.2963519511523,30.596820063056253,0.005440048847702883,-0.002415063056254496
车站路8号,车站路8号,1930,武汉市江岸区车站路8号,第三批,二级,114.301658,30.589613,武汉市江岸区 - 湖北省武汉市江岸区车站路8号,geocode,精确,成功,武汉市江岸区车站路8号,114.29621853925488,30.592030132705553,0.005439460745122915,-0.0024171327055526604
武汉电信局江汉分局,济生路电话分局,1902,武汉市江汉区友谊路98号,第三批,二级,114.280579,30.57681,武汉市江汉区 - 湖北省武汉市江汉区友谊路98号,geocode,精确,成功,武汉市江汉区友谊路98号,114.27516162853482,30.579261419322275,0.005417371465185283,-0.002451419322277104
江汉医院,江汉路135号,1937,武汉市江汉区江汉路135号,第三批,二级,114.290834,30.583866,武汉市江岸区 - 湖北省武汉市江汉区江汉路135号,geocode,精确,成功,武汉市江汉区江汉路135号,114.2854075341715,30.586301882914135,0.005426465828506366,-0.0024358829141348792
阿迪达斯专卖店,华康副食,1917,武汉市江汉区江汉路117号,第三批,二级,114.290508,30.581483,武汉市江汉区 - 湖北省武汉市江汉区江汉路117号,geocode,精确,成功,武汉市江汉区江汉路117号,114.28508206349338,30.58392023608138,0.005425936506625817,-0.0024372360813806893
亨达利商店,江汉路时代钟表,1900年前后,武汉市江汉区中山大道549-559号,第三批,二级,114.290953,30.579922,武汉市江汉区 - 湖北省武汉市江汉区中山大道549号,geocode,精确,成功,武汉市江汉区中山大道549-559号,114.28552675521632,30.58235919952454,0.005426244783677703,-0.0024371995245395794
海参珍味馆,三北轮船公司住宅,1922,武汉市沿江大道167号,第四批,一级,114.303199,30.587806,武汉市江岸区 - 湖北省武汉市江岸区沿江大道167号,geocode,精确,成功,武汉市沿江大道167号,114.29775766851544,30.59022126157335,0.005441331484561829,-0.002415261573350591
